epoch	iso_time	line_no	event_type	item_type	item_status	item_id	command
1780764029.508269	2026-06-07 00:40:29.508269 +0800	1	system				
1780764031.212544	2026-06-07 00:40:31.212544 +0800	2	rate_limit_event				
1780764032.251496	2026-06-07 00:40:32.251496 +0800	3	system				
1780764032.574451	2026-06-07 00:40:32.574451 +0800	4	system				
1780764032.958694	2026-06-07 00:40:32.958694 +0800	5	system				
1780764032.959193	2026-06-07 00:40:32.959193 +0800	6	assistant				
1780764033.116140	2026-06-07 00:40:33.116140 +0800	7	assistant				
1780764033.198095	2026-06-07 00:40:33.198095 +0800	8	user				
1780764035.578945	2026-06-07 00:40:35.578945 +0800	9	system				
1780764035.913414	2026-06-07 00:40:35.913414 +0800	10	system				
1780764036.292954	2026-06-07 00:40:36.292954 +0800	11	system				
1780764036.293255	2026-06-07 00:40:36.293255 +0800	12	assistant				
1780764036.651845	2026-06-07 00:40:36.651845 +0800	13	assistant				
1780764037.837458	2026-06-07 00:40:37.837458 +0800	14	assistant				
1780764038.298364	2026-06-07 00:40:38.298364 +0800	15	user				
1780764039.375897	2026-06-07 00:40:39.375897 +0800	16	assistant				
1780764039.757658	2026-06-07 00:40:39.757658 +0800	17	user				
1780764039.931024	2026-06-07 00:40:39.931024 +0800	18	assistant				
1780764040.021253	2026-06-07 00:40:40.021253 +0800	19	user				
1780764043.046023	2026-06-07 00:40:43.046023 +0800	20	system				
1780764043.046281	2026-06-07 00:40:43.046281 +0800	21	system				
1780764043.046357	2026-06-07 00:40:43.046357 +0800	22	system				
1780764043.046571	2026-06-07 00:40:43.046571 +0800	23	assistant				
1780764043.417362	2026-06-07 00:40:43.417362 +0800	24	assistant				
1780764045.756578	2026-06-07 00:40:45.756578 +0800	25	assistant				
1780764046.082894	2026-06-07 00:40:46.082894 +0800	26	user				
1780764046.084540	2026-06-07 00:40:46.084540 +0800	27	assistant				
1780764046.179929	2026-06-07 00:40:46.179929 +0800	28	user				
1780764048.938640	2026-06-07 00:40:48.938640 +0800	29	system				
1780764049.331808	2026-06-07 00:40:49.331808 +0800	30	system				
1780764049.331980	2026-06-07 00:40:49.331980 +0800	31	assistant				
1780764049.711572	2026-06-07 00:40:49.711572 +0800	32	assistant				
1780764050.121616	2026-06-07 00:40:50.121616 +0800	33	user				
1780764050.122501	2026-06-07 00:40:50.122501 +0800	34	assistant				
1780764050.195311	2026-06-07 00:40:50.195311 +0800	35	user				
1780764053.327460	2026-06-07 00:40:53.327460 +0800	36	system				
1780764053.771152	2026-06-07 00:40:53.771152 +0800	37	system				
1780764054.665176	2026-06-07 00:40:54.665176 +0800	38	system				
1780764054.705979	2026-06-07 00:40:54.705979 +0800	39	assistant				
1780764055.409804	2026-06-07 00:40:55.409804 +0800	40	assistant				
1780764055.684333	2026-06-07 00:40:55.684333 +0800	41	user				
1780764058.175461	2026-06-07 00:40:58.175461 +0800	42	system				
1780764058.575380	2026-06-07 00:40:58.575380 +0800	43	system				
1780764059.010457	2026-06-07 00:40:59.010457 +0800	44	system				
1780764059.381983	2026-06-07 00:40:59.381983 +0800	45	system				
1780764059.751058	2026-06-07 00:40:59.751058 +0800	46	system				
1780764060.124670	2026-06-07 00:41:00.124670 +0800	47	system				
